PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
48,Koradi,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2610,2610,KORADI,"WRLDCMP.SCADA3.A0103157,WRLDCMP.SCADA1.A0031032,WRLDCMP.SCADA1.A0045970,WRLDCMP.SCADA1.A0049539"
51,PARLI,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,750,750,PARLI,"WRLDCMP.SCADA1.A0033449,WRLDCMP.SCADA1.A0033452,WRLDCMP.SCADA3.A0118806"
53,PIONEER(262+127),LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,388,388,,
54,PIONEER(262+127) GT-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,262,262,,
55,PIONEER(262+127) ST-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,127,127,,
56,Paras,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,500,500,PARAS,"WRLDCMP.SCADA1.A0033702,WRLDCMP.SCADA1.A0046861"
58,RATTAN INDIA POWER (N),COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Rattan India (RIPL),1350,1350,,
59,RGPPL,LNG,WEST REGION,MAHARASHTRA,ISGS,RGPPL,1967,1967,"RGPPL-LTRLNG, RGPPL-RLNG",
60,Solapur STPS,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1320,1320,SOLAPUR,
64,TILLARI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,66,66,,
66,TROMBAY,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,750,750,TATA,"WRLDCMP.SCADA1.A0046870,WRLDCMP.SCADA1.A0046865"
69,Uran,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,672,672,,
71,VIPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,600,600,,
72,SWPGL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,540,540,,
137,NASIK,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,630,630,NASHIK,"WRLDCMP.SCADA1.A0032742,WRLDCMP.SCADA1.A0032746,WRLDCMP.SCADA1.A0032750"
159,Mouda I,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1000,1000,MOUDA,
160,Mouda II,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1320,1320,MOUDA_II,
161,Tarapur I,NUCLEAR,WEST REGION,MAHARASHTRA,ISGS,NPCIL,320,320,TAPS-I,
162,Tarapur II,NUCLEAR,WEST REGION,MAHARASHTRA,ISGS,NPCIL,1080,1080,TAPS-II,
163,KSTPS3,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,500,500,KSTPS7,
169,Solar,SOLAR,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2957,2957,,
170,Wind,WIND,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,5005,5005,,
172,Rattan India (Amaravati),COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,RIPL,1350,1350,IB Amravati,"WRLDCMP.SCADA1.A0045623,WRLDCMP.SCADA1.A0045627,WRLDCMP.SCADA1.A0045631,WRLDCMP.SCADA1.A0045635,WRLDCMP.SCADA1.A0045639"
186,MAHINDRA SOLAR,SOLAR,WEST REGION,MAHARASHTRA,RENEWABLE,Maharashtra,250,250,,
462,Hydro VTRNA,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,"BALCO,Maharashtra",60,60,,
463,TATA Hydro,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,447,447,,
470,HydroSMLHY_PTN,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,350,350,,
476,Solapur Solar PV Project,SOLAR,WEST REGION,MAHARASHTRA,RENEWABLE,NTPC,10,10,,
486,TROMBAY_GAS,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,180,180,,
487,JPL Dhule (Shirpur),COAL,WEST REGION,MAHARASHTRA,STATE_IPP,JPL Dhule,150,150,,
139,Kota,SOLAR,NORTH REGION,RAJSTHAN,STATE_OWNED,RGPPL,1000,1000,,
